Gender,score
male,0.8572
male,0.8572
male,0.8572
male,0.8572
male,0.8571
male,0.8571
male,0.85705
male,0.85701
male,0.85701
male,0.85696
male,0.85696
male,0.85686
male,0.85686
male,0.85682
male,0.85677
female,0.85677
male,0.85672
male,0.85672
male,0.85667
male,0.85667
male,0.85658
male,0.85653
male,0.85653
male,0.85653
male,0.85648
male,0.85648
male,0.85648
male,0.85638
male,0.85638
male,0.85634
male,0.85634
male,0.85629
male,0.85629
male,0.85624
male,0.85624
male,0.85619
male,0.85619
male,0.85615
male,0.85615
male,0.85615
male,0.8561
male,0.8561
male,0.85605
male,0.85595
male,0.85595
male,0.85595
male,0.85591
male,0.85586
male,0.85586
male,0.85586
male,0.85581
male,0.85572
male,0.85567
male,0.85567
male,0.85562
male,0.85562
male,0.85562
male,0.85557
male,0.85552
male,0.85552
male,0.85543
male,0.85543
male,0.85543
male,0.85538
male,0.85538
male,0.85519
male,0.85519
male,0.85514
female,0.85514
male,0.85514
male,0.85509
male,0.85509
male,0.85509
male,0.85495
female,0.85495
female,0.85485
male,0.85485
male,0.85476
female,0.85476
male,0.85471
male,0.85471
male,0.85471
male,0.85466
male,0.85466
male,0.85462
male,0.85462
male,0.85462
male,0.85462
male,0.85452
female,0.85452
male,0.85447
male,0.85447
male,0.85442
male,0.85438
male,0.85438
male,0.85433
male,0.85433
male,0.85419
male,0.85409
male,0.85404
male,0.85404
male,0.85404
male,0.85399
male,0.85399
male,0.85395
male,0.85395
male,0.8539
male,0.85385
male,0.85385
male,0.85385
male,0.8538
male,0.85376
male,0.85376
male,0.85376
male,0.85366
male,0.85366
male,0.85361
male,0.85361
male,0.85361
male,0.85356
male,0.85356
male,0.85356
male,0.85347
male,0.85347
male,0.85333
male,0.85328
male,0.85323
male,0.85318
male,0.85318
male,0.85318
male,0.85318
male,0.85309
male,0.85309
male,0.85304
male,0.85289
male,0.85285
male,0.8528
male,0.85266
male,0.85256
male,0.85251
male,0.85251
male,0.85251
male,0.85251
male,0.85227
male,0.85223
female,0.85223
male,0.85218
male,0.85218
male,0.85218
male,0.85213
male,0.85208
male,0.85203
male,0.85203
male,0.85199
male,0.85199
female,0.85199
male,0.85194
male,0.85194
male,0.85184
male,0.8518
male,0.8518
male,0.8518
male,0.8518
male,0.85175
female,0.85175
male,0.8517
male,0.85165
male,0.85165
male,0.85146
male,0.85146
male,0.85132
male,0.85127
male,0.85122
male,0.85122
female,0.85113
male,0.85113
male,0.85113
male,0.85113
male,0.85103
male,0.85103
male,0.85103
male,0.85098
male,0.85098
male,0.85098
male,0.85093
male,0.85089
male,0.85084
male,0.85079
female,0.85074
male,0.85074
male,0.8507
male,0.85055
male,0.85046
male,0.85046
male,0.85041
female,0.85041
male,0.85041
male,0.85036
male,0.85036
male,0.85036
male,0.85031
male,0.85017
male,0.85012
male,0.85012
male,0.85012
male,0.85012
male,0.85007
male,0.85003
male,0.85003
male,0.84998
male,0.84998
female,0.84993
female,0.84993
male,0.84988
male,0.84988
male,0.84988
male,0.84984
male,0.84984
male,0.84984
male,0.84979
male,0.84979
male,0.84979
